faculty,country,university
U-wide,New Zealand,Victoria University of Wellington
U-wide,Norway,Norwegian University of Science and Technology
U-wide,Norway,University of Oslo
U-wide,Poland,Cracow University of Technology
U-wide,Poland,Jagiellonian University
U-wide,Poland,Warsaw University of Technology
U-wide,Singapore,Nanyang Technological University
U-wide,Singapore,Singapore Institute of Technology
U-wide,Singapore,Singapore Management University
U-wide,Singapore,Singapore University of Social Sciences
U-wide,Singapore,Singapore University of Technology and Design
U-wide,South Korea,Korea Advanced Institute of Science and Technology
U-wide,South Korea,Korea University
U-wide,South Korea,Pohang University of Science and Technology
U-wide,South Korea,Seoul National University
U-wide,South Korea,Yonsei University
U-wide,Spain,Autonomous University of Barcelona 
U-wide,Spain,Autonomous University of Madrid
U-wide,Sweden,Chalmers University of Technology
U-wide,Sweden,KTH Royal Institute of Technology
U-wide,Sweden,Lund University
U-wide,Sweden,Stockholm University
U-wide,Sweden,University of Gothenburg
U-wide,Sweden,Uppsala University
U-wide,Switzerland,EPFL – Swiss Federal Institute of Technology Lausanne
U-wide,Switzerland,ETH Zurich – Swiss Federal Institute of Technology Zurich
U-wide,Switzerland,University of Geneva
U-wide,Switzerland,University of Lausanne
U-wide,Switzerland,University of Zurich
U-wide,Taiwan,National Cheng Kung University
U-wide,Taiwan,National Taiwan University
U-wide,Taiwan,National Tsing Hua University
U-wide,Taiwan,National Yang Ming Chiao Tung University
U-wide,Thailand,Chulalongkorn University
U-wide,Thailand,Mahidol University
U-wide,Turkiye,Bilkent University
U-wide,Turkiye,Sabanci University
U-wide,USA,Arizona State University
U-wide,USA,Boston College
U-wide,USA,Boston University
U-wide,USA,Brandeis University
U-wide,USA,Carleton College
U-wide,USA,Carnegie Mellon University
U-wide,USA,Case Western Reserve University
U-wide,USA,Clarkson University
U-wide,USA,College of William & Mary
U-wide,USA,Cornell University
U-wide,USA,Emory University
U-wide,USA,George Washington University 
U-wide,USA,Georgetown University
U-wide,USA,Georgia Institute of Technology
U-wide,USA,Northwestern University (quarter exchange)
U-wide,USA,Pennsylvania State University
U-wide,USA,Princeton University
U-wide,USA,Purdue University
U-wide,USA,Rice University
U-wide,USA,Texas A&M University
U-wide,USA,Tulane University
U-wide,USA,University of Alaska Fairbanks
U-wide,USA,University of Arizona
U-wide,USA,"University of California, Berkeley & Merced (semester exchange)"
U-wide,USA,"University of California, except Berkeley & Merced (quarter exchange)"
U-wide,USA,University of Colorado Boulder 
U-wide,USA,University of Connecticut
U-wide,USA,University of Florida
U-wide,USA,University of Georgia
U-wide,USA,University of Hawaii at Manoa
U-wide,USA,University of Illinois at Urbana Champaign
U-wide,USA,University of Maryland
U-wide,USA,University of Miami
U-wide,USA,University of Michigan
U-wide,USA,University of North Carolina at Chapel Hill
U-wide,USA,University of Notre Dame
U-wide,USA,University of Oregon (quarter exchange)
U-wide,USA,University of Pennsylvania
U-wide,USA,University of Pittsburgh
U-wide,USA,University of Southern California - Viterbi School of Engineering
U-wide,USA,University of Texas at Austin
U-wide,USA,University of Virginia
U-wide,USA,"University of Washington, Seattle (quarter exchange)"
U-wide,USA,University of Wisconsin-Madison
U-wide,United Kingdom,Durham University
U-wide,United Kingdom,Imperial College London
U-wide,United Kingdom,King's College London
U-wide,United Kingdom,London School of Economics
U-wide,United Kingdom,University College London
U-wide,United Kingdom,University of Bath
U-wide,United Kingdom,University of Birmingham
U-wide,United Kingdom,University of Bristol
U-wide,United Kingdom,University of Edinburgh
U-wide,United Kingdom,University of Glasgow
U-wide,United Kingdom,University of Leeds
U-wide,United Kingdom,University of Liverpool
U-wide,United Kingdom,University of Manchester
U-wide,United Kingdom,University of Newcastle upon Tyne
U-wide,United Kingdom,University of Nottingham
U-wide,United Kingdom,University of Sheffield
U-wide,United Kingdom,University of St Andrews
U-wide,United Kingdom,University of Warwick
U-wide,United Kingdom,University of York
U-wide/ Faculty,Country,University Name
