region,country,university,id
Europe,Norway,BI Norwegian Business School,E0000003551
Europe,Norway,Norwegian School of Economics,E0000000444
Europe,Norway,Norwegian Uni of Sci & Tech,E0000000443
Europe,Norway,University of Oslo,E0000002370
Europe,Poland,CracowUT,E0000001878
Europe,Poland,Jagiellonian University,E0000001718
Europe,Poland,Warsaw School of Economics,E0000000497
Europe,Poland,Warsaw Uni of Technology,E0000000498
Europe,Portugal,Catholic Uni of Portugal,E0000002343
Europe,Portugal,Nova Sch of Business & Econs,E0000004711
Europe,Slovenia,University of Ljubljana,E0000002734
Europe,Spain,Uni Autonoma de Barcelona,E0000004274
Europe,Spain,Autonomous Uni of Madrid,E0000001938
Europe,Spain,ESADE Business School,E0000004475
Europe,Spain,IE Business School,E0000003866
Europe,Spain,UIC Barcelona,E0000007080
Europe,Spain,University of Navarra,E0000002376
Europe,Sweden,Blekinge Institute of Tech,E0000003399
Europe,Sweden,Chalmers Uni of Technology,E0000000567
Europe,Sweden,KTH-Royal Inst of Technology,E0000000571
Europe,Sweden,Karolinska Institute,E0000000573
Europe,Sweden,Linkoping University,E0000000568
Europe,Sweden,Lund University,E0000000572
Europe,Sweden,Stockholm School of Economics,E0000000565
Europe,Sweden,Stockholm University,E0000000570
Europe,Sweden,University of Gothenburg,E0000003696
Europe,Sweden,Uppsala University,E0000000569
Europe,Switzerland,Ecole CA de Lausanne (ECAL),E0000000574
Europe,Switzerland,Swiss Federal Ins Tec Lausanne,E0000000580
Europe,Switzerland,Swiss Federal Inst Tec Zurich,E0000000577
Europe,Switzerland,University of Geneva,E0000001729
Europe,Switzerland,University of Lausanne,E0000001730
Europe,Switzerland,University of St. Gallen,E0000000576
Europe,Switzerland,University of Zurich,E0000000579
Europe,Turkiye,Bilkent University,E0000002064
Europe,Turkiye,Sabanci University,E0000001165
Europe,United Kingdom,"City, University of London",E0000001263
Europe,United Kingdom,Durham University,E0000001260
Europe,United Kingdom,Imperial College London,E0000001172
Europe,United Kingdom,King's College London,E0000001200
Europe,United Kingdom,London Sch of Econ & Pol Sci,E0000001213
Europe,United Kingdom,Loughborough University,E0000001197
Europe,United Kingdom,University College London,E0000001228
Europe,United Kingdom,University of Aberdeen,E0000001275
Europe,United Kingdom,University of Bath,E0000001272
Europe,United Kingdom,University of Birmingham,E0000001270
Europe,United Kingdom,University of Bristol,E0000001267
Europe,United Kingdom,University of Dundee,E0000001261
Europe,United Kingdom,The University of Edinburgh,E0000001258
Europe,United Kingdom,University of Glasgow,E0000001255
Europe,United Kingdom,University of Leeds,E0000001248
Europe,United Kingdom,University of Liverpool,E0000001246
Europe,United Kingdom,The University of Manchester,E0000001219
Europe,United Kingdom,University of Caen,E0000001103
Europe,United Kingdom,University of Nottingham,E0000001240
Europe,United Kingdom,The University of Sheffield,E0000001233
Europe,United Kingdom,University of Southampton,E0000001235
Europe,United Kingdom,University of St Andrews,E0000002627
Europe,United Kingdom,University of Strathclyde,E0000001231
Europe,United Kingdom,University of Warwick,E0000001224
Europe,United Kingdom,University of York,E0000001223
Middle East & Africa,South Africa,Stellenbosch University,E0000001722
Singapore,Singapore,NTU Singapore,E0000000513
Singapore,Singapore,S'pore Institute of Technology,E0000002901
Singapore,Singapore,Singapore Management Uni,E0000000511
Singapore,Singapore,S'pore Uni of Social Sciences,E0000001881
Singapore,Singapore,S'pore Uni of Tech and Design,E0000002628
