Region,U-wide/ Faculty,Country,University Name,Regular semester workload for full-time undergraduate students,Units,Conversion,Remarks
Asia & Australasia,U-wide,China,Zhejiang University,13,credits,1.5384615384615385,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,BIZ,China,"Zhejiang University, International Business School",13,credits,1.5384615384615385,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,China,Chongqing University,13,credits,1.5384615384615385,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,China,Fudan University,13,credits,1.5384615384615385,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,China,Nanjing University,13,credits,1.5384615384615385,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,China,Peking University,13,credits,1.5384615384615385,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,China,Shanghai Jiao Tong University,13,credits,1.5384615384615385,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,CDE,China,Tianjin University,13,credits,1.5384615384615385,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,China,Tongji University,13,credits,1.5384615384615385,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,China,Tsinghua University,13,credits,1.5384615384615385,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,China,Xiamen University,13,credits,1.5384615384615385,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,Hong Kong,Chinese University of Hong Kong,15,CUHK credits,1.3333333333333333,GRO Info & FASS website Tallies
Asia & Australasia,BIZ,Hong Kong,Chinese University of Hong Kong,15,CUHK credits,1.3333333333333333,GRO Info & FASS website Tallies
Asia & Australasia,FoS,Hong Kong,Chinese University of Hong Kong,15,CUHK credits,1.3333333333333333,GRO Info & FASS website Tallies
Asia & Australasia,U-wide,Hong Kong,City University of Hong Kong,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Asia & Australasia,FoS,Hong Kong,City University of Hong Kong,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Asia & Australasia,BIZ,Hong Kong,City University of Hong Kong College of Business,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Asia & Australasia,U-wide,Hong Kong,Hong Kong Polytechnic University,15,Credits,1.3333333333333333,GRO Info & FASS website Tallies
Asia & Australasia,CDE,Hong Kong,Hong Kong University of Science and Technology,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Asia & Australasia,FoS,Hong Kong,Hong Kong University of Science and Technology,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Asia & Australasia,BIZ,Hong Kong,Hong Kong University of Science and Technology School of Business and Management,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Asia & Australasia,SoC,Hong Kong,Hong Kong University of Science and Technology School of Engineering,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Asia & Australasia,U-wide,Hong Kong,University of Hong Kong,30,credits,0.6666666666666666,GRO Info & FASS website Tallies
Asia & Australasia,FoS,Hong Kong,University of Hong Kong,30,credits,0.6666666666666666,GRO Info & FASS website Tallies
Asia & Australasia,BIZ,Hong Kong,University of Hong Kong Business School,30,credits,0.6666666666666666,GRO Info & FASS website Tallies
Asia & Australasia,CDE,India,"Indian Institute of Technology, Bombay",22.5,credits,0.8888888888888888,GRO Info - Verified by PVO
Asia & Australasia,FASS,Indonesia,University of Gadjah Mada,18,credits,1.1111111111111112,GRO's Info tallies with PVO's search
Asia & Australasia,FASS,Japan,Akita International University,15.5,credits,1.2903225806451613,GRO Info & FASS website Tallies
Asia & Australasia,FASS,Japan,International Christian University,15.5,credits,1.2903225806451613,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,Japan,Keio University,15.5,credits,1.2903225806451613,GRO Info & FASS website Tallies
Asia & Australasia,FASS,Japan,Kwansei Gakuin University,15.5,credits,1.2903225806451613,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,CDE,Japan,Kyoto Institute of Technology,15.5,credits,1.2903225806451613,Provided by CDE to PVO
Asia & Australasia,U-wide,Japan,Kyoto University,15.5,credits,1.2903225806451613,GRO Info & FASS website Tallies
Asia & Australasia,CDE,Japan,Meiji University,15.5,credits,1.2903225806451613,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,FASS,Japan,Meiji University (School of Global Japanese Studies),15.5,credits,1.2903225806451613,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,Japan,Nagoya University,15.5,credits,1.2903225806451613,GRO Info & FASS website Tallies
Asia & Australasia,FASS,Japan,Rikkyo University,15.5,credits,1.2903225806451613,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,NUSC,Japan,Rikkyo University,15.5,credits,1.2903225806451613,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,FASS,Japan,Ritsumeikan University,15.5,credits,1.2903225806451613,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,FASS,Japan,Tokyo University of Foreign Studies,15.5,credits,1.2903225806451613,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,FoS,Japan,University of Tokyo (College of Arts and Sciences),15.5,credits,1.2903225806451613,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,Japan,Osaka University,15.5,credits,1.2903225806451613,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,Japan,Tohoku University,15.5,credits,1.2903225806451613,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,Japan,Institute of Science Tokyo,15.5,credits,1.2903225806451613,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,Japan,University of Tokyo,15.5,credits,1.2903225806451613,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,Japan,Waseda University,15.5,credits,1.2903225806451613,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,New Zealand,University of Auckland,60,points,0.3333333333333333,GRO Info & FASS website Tallies
Asia & Australasia,BIZ,New Zealand,University of Auckland,60,points,0.3333333333333333,GRO Info & FASS website Tallies
Asia & Australasia,U-wide,New Zealand,University of Canterbury,60,points,0.3333333333333333,GRO Info & FASS website Tallies
Asia & Australasia,U-wide,New Zealand,University of Otago,60,credits,0.3333333333333333,GRO Info & FASS website Tallies
Asia & Australasia,U-wide,New Zealand,Victoria University of Wellington,60,points,0.3333333333333333,GRO Info & FASS website Tallies
Asia & Australasia,FASS,South Korea,Ewha Womans University,15,credits,1.3333333333333333,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,CDE,South Korea,Ewha Womans University,15,credits,1.3333333333333333,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,FASS,South Korea,Hankuk University of Foreign Studies,15,credits,1.3333333333333333,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,CDE,South Korea,Hanyang University,15,credits,1.3333333333333333,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,BIZ,South Korea,Korea University Business School,15,credits,1.3333333333333333,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,South Korea,Pohang University of Science and Technology,15,credits,1.3333333333333333,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,South Korea,Seoul National University,15,credits,1.3333333333333333,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,NUSC,South Korea,Seoul National University,15,credits,1.3333333333333333,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,BIZ,South Korea,Seoul National University Business School,15,credits,1.3333333333333333,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,CDE,South Korea,University of Seoul,15,credits,1.3333333333333333,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,South Korea,Korea Advanced Institute of Science and Technology,15,credits,1.3333333333333333,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,South Korea,Korea University,15,credits,1.3333333333333333,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,South Korea,Yonsei University,15,credits,1.3333333333333333,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,BIZ,South Korea,Yonsei University,15,credits,1.3333333333333333,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,FoS,Taiwan,Chang Gung University,15,credits,1.3333333333333333,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,FASS,Taiwan,National Chengchi University,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Asia & Australasia,BIZ,Taiwan,National Chengchi University College of Commerce,15,credits,1.3333333333333333,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,BIZ,Taiwan,National Taiwan University College of Management,15,credits,1.3333333333333333,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,CDE,Taiwan,National Taiwan University of Science and Technology,15,credits,1.3333333333333333,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,CDE,Taiwan,Tunghai University,15,credits,1.3333333333333333,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,Taiwan,National Cheng Kung University,15,credits,1.3333333333333333,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,Taiwan,National Taiwan University,15,credits,1.3333333333333333,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,Taiwan,National Tsing Hua University,15,credits,1.3333333333333333,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,Taiwan,National Yang Ming Chiao Tung University,15,credits,1.3333333333333333,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,U-wide,Thailand,Chulalongkorn University,15,credits,1.3333333333333333,GRO's Info tallies with PVO's search
Asia & Australasia,CDE,Thailand,Chulalongkorn University,15,credits,1.3333333333333333,GRO's Info tallies with PVO's search
Asia & Australasia,U-wide,Thailand,Mahidol University,16,credits,1.25,GRO Info & FASS website Tallies
Europe,FoS,Austria,Management Center Innsbruck Internationale Hochschule GmbH,30,ECTS,0.6666666666666666,GRO Info & FASS website Tallies
Europe,U-wide,Austria,University of Innsbruck,30,ECTS,0.6666666666666666,GRO Info & FASS website Tallies
Europe,BIZ,Austria,Vienna University of Economics and Business,30,ECTS,0.6666666666666666,European University - standard
Europe,BIZ,Belgium,"Catholic University of Louvain, Louvain School of Management",30,ECTS,0.6666666666666666,Units Proposed by BIZ
Europe,U-wide,Belgium,KU Leuven,30,ECTS,0.6666666666666666,European University - standard
Europe,U-wide,Belgium,University of Antwerp,30,ECTS,0.6666666666666666,GRO Info & FASS website Tallies
Europe,BIZ,Belgium,University of Antwerp,30,ECTS,0.6666666666666666,GRO Info & FASS website Tallies
Europe,BIZ,Belgium,"University of Brussels, Solvay Business School",30,ECTS,0.6666666666666666,European University - standard
Europe,U-wide,Croatia,University of Zagreb,30,ECTS,0.6666666666666666,GRO Info & FASS website Tallies
Europe,CDE,Czech Republic,Czech Technical University in Prague,30,ECTS,0.6666666666666666,GRO's Info tallies with PVO's search
Europe,CDE,Denmark,Aalborg University,30,ECTS,0.6666666666666666,European University - standard
Europe,U-wide,Denmark,Aarhus University,30,ECTS,0.6666666666666666,GRO Info & FASS website Tallies
Europe,BIZ,Denmark,Aarhus University,30,ECTS,0.6666666666666666,GRO Info & FASS website Tallies
Europe,BIZ,Denmark,Copenhagen Business School,30,ECTS,0.6666666666666666,European University - standard
Europe,U-wide,Denmark,Technical University of Denmark,30,ECTS,0.6666666666666666,European University - standard
Europe,U-wide,Denmark,University of Copenhagen,30,ECTS,0.6666666666666666,GRO Info & FASS website Tallies
Europe,CDE,Denmark,University of Southern Denmark,30,ECTS,0.6666666666666666,European University - standard
Europe,U-wide,Estonia,Tallinn University of Technology,30,ECTS,0.6666666666666666,GRO Info & FASS website Tallies
Europe,CDE,Finland,Aalto University,30,ECTS,0.6666666666666666,European University - standard
Europe,BIZ,Finland,"Aalto University, Helsinki",30,ECTS,0.6666666666666666,European University - standard
Europe,BIZ,Finland,"Aalto University, Mikkeli",30,ECTS,0.6666666666666666,European University - standard
Europe,CDE,Finland,Tampere University,30,ECTS,0.6666666666666666,European University - standard
Europe,U-wide,Finland,University of Helsinki,30,ECTS,0.6666666666666666,GRO Info & FASS website Tallies
Europe,CDE,Finland,University of Oulu,30,ECTS,0.6666666666666666,European University - standard
Europe,CDE,France,Ecole Speciale d'Architecture,30,ECTS,0.6666666666666666,European University - standard
Europe,CDE,France,ENSCI Les Ateliers - Ecole National Superieure de Creation Industrielle,30,ECTS,0.6666666666666666,European University - standard
Europe,BIZ,France,ESSEC Business School,30,ECTS,0.6666666666666666,European University - standard
Europe,BIZ,France,HEC Paris,30,ECTS,0.6666666666666666,Units Proposed by BIZ
Europe,CDE,France,Institut Superieur de Design,30,ECTS,0.6666666666666666,European University - standard
Europe,CDE,France,ISAE-Supaero,30,ECTS,0.6666666666666666,European University - standard
Europe,U-wide,France,Sciences Po,30,ECTS,0.6666666666666666,GRO Info & FASS website Tallies
Europe,FASS,France,Sciences Po Bordeaux,30,ECTS,0.6666666666666666,GRO Info & FASS website Tallies
Europe,CDE,France,Strate School of Design,30,ECTS,0.6666666666666666,European University - standard
Europe,U-wide,France,CentraleSupélec,30,ECTS,0.6666666666666666,European University - standard
Europe,U-wide,France,INSA Lyon – National Institute of Applied Sciences of Lyon,30,ECTS,0.6666666666666666,European University - standard
Europe,U-wide,France,Mines ParisTech,30,ECTS,0.6666666666666666,GRO's Info tallies with PVO's search
Europe,U-wide,France,Télécom Paris,30,ECTS,0.6666666666666666,European University - standard
Europe,U-wide,France,University Grenoble Alpes,30,ECTS,0.6666666666666666,European University - standard
Europe,U-wide,France,University of Technology of Compiègne,30,ECTS,0.6666666666666666,European University - standard
Europe,U-wide,France,University of Technology of Troyes,30,ECTS,0.6666666666666666,European University - standard
Europe,CDE,Germany,Esslingen University of Applied Sciences,30,ECTS,0.6666666666666666,European University - standard
Europe,BIZ,Germany,European Business School,30,ECTS,0.6666666666666666,European University - standard
